drug,protein
DB16019,P14550
DB00593,A5X5Y0
DB01222,A5X5Y0
DB01419,O00180
DB00491,O00180
DB01611,O00204
DB13520,O00204
DB03193,O00206
DB01558,O00206
DB00324,O00217
DB01327,O00217
DB08865,O00222
DB01191,O00222
DB01144,O00238
DB00383,O00238
DB00264,O00264
DB01115,O00264
DB01337,O00299
DB00836,O00299
DB01262,O00305
DB01586,O00305
DB09488,O00329
DB00145,O00329
DB06825,O00408
DB06441,O00408
DB00686,O00444
DB00552,O00444
DB11644,O00459
DB01340,O00459
DB05239,O00469
DB01173,O00469
DB00573,O00483
DB01260,O00483
DB06711,O00519
DB00914,O00519
DB01176,O00555
DB03088,O00555
DB09241,O00750
DB00967,O00750
DB15982,O00763
DB00842,O00763
DB11837,O14521
DB11718,O14521
DB14542,O14556
DB00270,O14556
DB03619,O14561
DB00377,O14561
DB13781,O14578
DB00206,O14578
DB00448,O14618
DB00675,O14618
DB00983,O14649
DB11587,O14649
DB06691,O14730
DB00979,O14730
DB00530,O14732
DB00223,O14732
DB00694,O14757
DB04930,O14757
DB00861,O14764
DB00497,O14764
DB01168,O14788
DB00924,O14788
DB00907,O14791
DB00378,O14791
DB00978,O14832
DB01156,O14832
DB00145,O14841
DB04930,O14841
DB01089,O14842
DB06700,O14842
DB12978,O14880
DB09526,O14880
DB00539,O14920
DB11278,O14920
DB01076,O14936
DB00967,O14936
DB04843,O14939
DB00401,O14939
DB00591,O14958
DB00372,O14958
DB00877,O14964
DB01577,O14964
DB06707,O14965
DB00343,O14965
DB00642,O14976
DB09220,O14976
DB01193,O14983
DB05812,O14983
DB00501,O15067
DB00340,O15067
DB00203,O15075
DB01419,O15075
DB01006,O15111
DB01143,O15111
DB00376,O15146
DB01090,O15146
DB00912,O15197
DB05039,O15197
DB06403,O15217
DB09073,O15217
DB00979,O15239
DB01595,O15239
DB00544,O15264
DB09061,O15264
DB00653,O15269
DB00247,O15269
DB00197,O15270
DB00953,O15270
DB01203,O15304
DB00480,O15342
DB06262,O15342
DB01105,O15350
DB00243,O15350
DB00243,O15374
DB01028,O15374
DB14543,O15379
DB00377,O15379
DB01079,O15382
DB01192,O15382
DB00471,O15392
DB00985,O15392
DB01197,O15399
DB11085,O15399
DB01062,O15403
DB01138,O15403
DB00091,O15427
DB00900,O15427
DB00917,O15440
DB00246,O15440
DB00293,O15528
DB01191,O15528
DB01227,O15530
DB01427,O15530
DB11837,O15547
DB06230,O15547
DB00808,O15554
DB01085,O15554
DB00237,O43174
DB00925,O43174
DB01168,O43175
DB09112,O43175
DB00270,O43181
DB06766,O43181
DB00996,O43193
DB00784,O43193
DB08895,O43252
DB00796,O43252
DB00374,O43283
DB00902,O43283
DB06709,O43293
DB00237,O43293
DB01135,O43353
DB04837,O43353
DB00711,O43451
DB00226,O43451
DB00395,O43497
DB00208,O43497
DB00584,O43525
DB00574,O43525
DB09257,O43526
DB00797,O43526
DB05541,O43570
DB00697,O43570
DB00540,O43612
DB06144,O43612
DB00814,O43617
DB00806,O43617
DB01012,O43674
DB13946,O43674
DB09555,O43676
DB11587,O43676
DB04540,O43677
DB00200,O43677
DB09256,O43678
DB09257,O43678
DB01076,O43708
DB00142,O43708
DB11901,O43741
DB11791,O43741
DB00938,O43772
DB00978,O43772
DB00844,O43837
DB11817,O43837
DB12404,O43920
DB00264,O43920
DB06718,O60218
DB00549,O60218
DB00755,O60285
DB15982,O60285
DB00270,O60359
DB00824,O60359
DB00454,O60391
DB06751,O60391
DB00737,O60427
DB09488,O60427
DB00579,O60488
DB00354,O60488
DB01273,O60494
DB11093,O60494
DB09076,O60568
DB01016,O60568
DB00484,O60603
DB00704,O60603
DB01436,O60656
DB01106,O60656
DB12130,O60658
DB01624,O60658
DB01185,O60669
DB09119,O60669
DB06153,O60674
DB00852,O60674
DB00120,O60701
DB11703,O60701
DB00691,O60706
DB00737,O60706
DB00383,O60760
DB04865,O60760
DB00292,O60840
DB00593,O60840
DB00338,O60931
DB00436,O60931
DB00169,O60939
DB13346,O60939
DB00665,O75116
DB11642,O75116
DB00501,O75185
DB13751,O75185
DB09130,O75251
DB00591,O75251
DB09462,O75306
DB00810,O75306
DB08880,O75311
DB00796,O75311
DB00465,O75340
DB06203,O75340
DB13949,O75348
DB15690,O75348
DB00877,O75380
DB03585,O75380
DB00947,O75385
DB00279,O75385
DB00139,O75390
DB00654,O75390
DB01437,O75438
DB04876,O75438
DB00563,O75460
DB00651,O75460
DB09242,O75469
DB11362,O75469
DB11963,O75489
DB00731,O75489
DB01056,O75600
DB01589,O75600
DB00121,O75636
DB00504,O75636
DB00437,O75715
DB00392,O75715
DB00845,O75716
DB06691,O75716
DB00605,O75747
DB08809,O75747
DB11672,O75762
DB00657,O75762
DB00441,O75838
DB08801,O75838
DB00296,O75880
DB01656,O75880
DB09054,O75899
DB00585,O75899
DB08875,O75911
DB00499,O75911
DB00633,O75912
DB12789,O75912
DB00665,O75914
DB00159,O75914
DB01251,O75936
DB00327,O75936
DB00315,O76074
DB00723,O76074
DB14491,O76082
DB00468,O76082
DB01037,O76083
DB01340,O76083
DB11967,O94760
DB00583,O94760
DB00846,O94768
DB01426,O94768
DB09053,O94788
DB11699,O94788
DB00387,O94804
DB01382,O94804
DB00559,O94903
DB01229,O94903
DB00408,O94925
DB01348,O94925
DB01089,O95069
DB00377,O95069
DB00970,O95139
DB00448,O95139
DB12537,O95167
DB06230,O95167
DB06155,O95168
DB01022,O95168
DB00327,O95169
DB12147,O95169
DB09054,O95178
DB13949,O95178
DB06710,O95180
DB00483,O95180
DB04840,O95182
DB04743,O95182
DB00396,O95237
DB00745,O95237
DB01053,O95259
DB01218,O95259
DB00240,O95263
DB00835,O95263
DB00797,O95264
DB00622,O95264
DB00584,O95298
DB02789,O95298
DB00394,O95299
DB12332,O95299
DB01143,O95342
DB00950,O95342
DB00574,O95363
DB01198,O95363
DB00830,O95470
DB01345,O95470
DB09079,O95477
DB01619,O95477
DB08881,O95479
DB06267,O95479
DB11757,O95644
DB00619,O95644
DB00247,O95665
DB00173,O95665
DB00193,O95670
DB09097,O95670
DB06287,O95718
DB01073,O95718
DB00913,O95747
DB00492,O95747
DB15617,O95749
DB00115,O95749
DB00966,O95819
DB00824,O95819
DB09460,O95831
DB01115,O95831
DB04946,O95835
DB14481,O95835
DB04871,O95864
DB01274,O95864
DB08814,O95907
DB00142,O95907
DB04821,O95954
DB01576,O95954
DB00714,O95977
DB00980,O95977
DB00289,O96000
DB00703,O96000
DB00761,O96013
DB01057,O96013
DB11614,O96017
DB00995,O96017
DB00289,P00325
DB09091,P00325
DB00900,P00326
DB01010,P00326
DB05246,P00338
DB13800,P00338
DB00182,P00352
DB00939,P00352
DB06706,P00367
DB11633,P00367
DB09409,P00374
DB01623,P00374
DB00180,P00387
DB00690,P00387
DB00353,P00390
DB09213,P00390
DB00622,P00395
DB01247,P00395
DB00425,P00403
DB01011,P00403
DB01050,P00414
DB00549,P00414
DB08995,P00439
DB01110,P00439
DB00880,P00441
DB14669,P00441
DB00014,P00450
DB01624,P00450
DB11967,P00491
DB00338,P00491
DB08871,P00492
DB01037,P00492
DB00122,P00505
DB00358,P00505
DB00143,P00519
DB01239,P00519
DB01102,P00533
DB01616,P00533
DB01242,P00558
DB14975,P00558
DB06691,P00734
DB00631,P00734
DB09071,P00736
DB04842,P00736
DB00162,P00738
DB06144,P00738
DB00620,P00739
DB01241,P00739
DB00308,P00740
DB00800,P00740
DB00869,P00742
DB00120,P00742
DB06774,P00747
DB00690,P00747
DB12161,P00748
DB00964,P00748
DB06691,P00750
DB13346,P00750
DB00985,P00751
DB01204,P00751
DB00351,P00797
DB00845,P00797
DB00476,P00813
DB00205,P00813
DB01089,P00846
DB00838,P00846
DB00394,P00915
DB11699,P00915
DB14512,P00918
DB00151,P00918
DB00547,P01008
DB11644,P01008
DB01001,P01009
DB01430,P01009
DB01620,P01011
DB01193,P01011
DB09128,P01019
DB00801,P01019
DB09526,P01023
DB13179,P01023
DB08911,P01024
DB00776,P01024
DB01259,P01031
DB01248,P01031
DB01437,P01042
DB03614,P01042
DB09272,P01100
DB00677,P01100
DB00235,P01106
DB04817,P01106
DB01047,P01133
DB06626,P01133
DB00979,P01137
DB11186,P01137
DB00450,P01138
DB14975,P01138
DB13720,P01189
DB00819,P01189
DB06684,P01303
DB09086,P01303
DB12001,P01308
DB09063,P01308
DB01012,P01375
DB00404,P01375
DB06781,P01579
DB00862,P01579
DB00750,P01584
DB00533,P01584
DB00959,P01591
DB00695,P01591
DB09214,P02533
DB01161,P02533
DB00327,P02538
DB04840,P02538
DB13345,P02585
DB09075,P02585
DB00648,P02647
DB09148,P02647
DB00823,P02649
DB00346,P02649
DB02530,P02652
DB00468,P02652
DB00390,P02655
DB04834,P02655
DB01583,P02656
DB09291,P02656
DB00741,P02671
DB00780,P02671
DB00748,P02675
DB00825,P02675
DB06230,P02679
DB09140,P02679
DB00248,P02708
DB00989,P02708
DB00841,P02743
DB00287,P02743
DB01559,P02746
DB08910,P02746
DB01165,P02747
DB00132,P02747
DB12278,P02748
DB00502,P02748
DB00989,P02749
DB00501,P02749
DB00146,P02750
DB01378,P02750
DB00771,P02751
DB04854,P02751
DB00323,P02753
DB00953,P02753
DB13155,P02763
DB00240,P02763
DB00121,P02765
DB00941,P02765
DB01173,P02766
DB00805,P02766
DB14490,P02768
DB01131,P02768
DB06589,P02775
DB06699,P02775
DB08932,P02786
DB01345,P02786
DB01229,P02787
DB00651,P02787
DB00281,P02788
DB11362,P02788
DB00121,P02790
DB00942,P02790
DB01074,P02792
DB00321,P02792
DB01151,P02794
DB01624,P02794
DB14754,P02795
DB00824,P02795
DB14543,P02818
DB01057,P02818
DB15822,P03372
DB00710,P03372
DB00972,P03886
DB00545,P03886
DB11274,P03891
DB04821,P03891
DB06144,P03897
DB14723,P03897
DB09327,P03901
DB11081,P03901
DB00360,P03905
DB01001,P03905
DB00443,P03915
DB14596,P03915
DB01611,P03923
DB00741,P03923
DB01125,P03951
DB00421,P03951
DB06403,P03952
DB00682,P03952
DB03128,P04003
DB00898,P04003
DB00821,P04004
DB00775,P04004
DB00774,P04035
DB08814,P04035
DB00882,P04040
DB00508,P04040
DB06813,P04049
DB00307,P04049
DB15091,P04054
DB08895,P04054
DB01184,P04070
DB14544,P04070
DB01394,P04075
DB00242,P04075
DB00963,P04080
DB00527,P04080
DB00575,P04083
DB09481,P04083
DB00647,P04114
DB01084,P04114
DB01240,P04150
DB00615,P04150
DB11738,P04155
DB00615,P04155
DB00214,P04181
DB00211,P04181
DB01367,P04196
DB03147,P04196
DB01296,P04217
DB08897,P04217
DB00432,P04264
DB01118,P04264
DB00412,P04271
DB04908,P04271
DB13720,P04279
DB01209,P04279
DB00496,P04406
DB14509,P04406
DB01579,P04626
DB09472,P04626
DB00648,P04629
DB13345,P04629
DB01087,P04637
DB00178,P04637
DB01324,P04731
DB00605,P04731
DB00199,P04746
DB03310,P04746
DB00431,P04818
DB03310,P04818
DB01021,P04839
DB00889,P04839
DB01238,P05023
DB01324,P05023
DB00940,P05067
DB00014,P05067
DB00472,P05089
DB00924,P05089
DB00611,P05090
DB14754,P05090
DB08814,P05091
DB00758,P05091
DB09090,P05093
DB01452,P05093
DB08995,P05106
DB00792,P05106
DB01218,P05108
DB00153,P05108
DB01057,P05109
DB00264,P05109
DB00800,P05121
DB00557,P05121
DB01403,P05129
DB01028,P05129
DB00469,P05141
DB00890,P05141
DB01209,P05155
DB08860,P05155
DB04844,P05164
DB13783,P05164
DB00240,P05165
DB06213,P05165
DB01054,P05166
DB01188,P05166
DB00293,P05177
DB01336,P05177
DB00604,P05181
DB00988,P05181
DB06605,P05230
DB09241,P05230
DB06777,P05231
DB15566,P05231
DB00921,P05362
DB11278,P05362
DB00708,P05412
DB01357,P05412
DB01045,P05452
DB00927,P05452
DB00610,P05543
DB01401,P05543
DB00277,P05546
DB00298,P05546
DB00596,P05771
DB00347,P05771
DB00169,P06213
DB00537,P06213
DB01120,P06239
DB00648,P06239
DB00175,P06241
DB04817,P06241
DB00962,P06276
DB00159,P06276
DB01029,P06396
DB00807,P06396
DB04890,P06401
DB08439,P06401
DB11081,P06493
DB13257,P06493
DB00549,P06702
DB01244,P06702
DB00490,P06703
DB01133,P06703
DB00586,P06727
DB00778,P06727
DB04540,P06732
DB00540,P06732
DB00716,P06733
DB01608,P06733
DB01245,P06744
DB01001,P06744
DB01583,P06746
DB01223,P06746
DB01246,P06756
DB00977,P06756
DB00722,P06858
DB00749,P06858
DB00343,P06870
DB01148,P06870
DB06230,P07101
DB00904,P07101
DB00575,P07195
DB00276,P07195
DB00963,P07202
DB00792,P07202
DB00476,P07203
DB00782,P07203
DB11757,P07204
DB00176,P07204
DB11837,P07225
DB01120,P07225
DB00706,P07237
DB03255,P07237
DB00666,P07288
DB00457,P07288
DB11362,P07327
DB00288,P07327
DB06237,P07332
DB00472,P07332
DB01159,P07333
DB00464,P07333
DB12332,P07355
DB01028,P07355
DB00354,P07357
DB06077,P07357
DB01185,P07359
DB00863,P07359
DB11652,P07360
DB06725,P07360
DB01239,P07437
DB06410,P07437
DB11994,P07451
DB00214,P07451
DB11952,P07498
DB09076,P07498
DB00703,P07550
DB12147,P07550
DB11712,P07686
DB01059,P07686
DB01435,P07711
DB11362,P07711
DB01351,P07741
DB00454,P07741
DB00308,P07814
DB00806,P07814
DB00604,P07864
DB00799,P07864
DB09073,P07900
DB00860,P07900
DB08916,P07947
DB00642,P07947
DB00661,P07948
DB00959,P07948
DB04890,P07949
DB01107,P07949
DB08860,P07998
DB01107,P07998
DB05271,P08069
DB04876,P08069
DB00539,P08100
DB08801,P08100
DB13154,P08172
DB01171,P08172
DB00481,P08173
DB00542,P08173
DB00242,P08183
DB08865,P08183
DB01064,P08185
DB01117,P08185
DB06709,P08235
DB12141,P08235
DB00368,P08243
DB01357,P08243
DB01452,P08253
DB00486,P08253
DB00118,P08263
DB00387,P08263
DB00295,P08319
DB06766,P08319
DB09026,P08514
DB09095,P08514
DB08865,P08519
DB01161,P08519
DB00347,P08559
DB11757,P08559
DB00845,P08581
DB00349,P08581
DB06782,P08588
DB00724,P08588
DB00934,P08603
DB08932,P08603
DB00502,P08620
DB00574,P08620
DB00443,P08631
DB00801,P08631
DB00737,P08684
DB09079,P08684
DB06654,P08686
DB00861,P08686
DB00619,P08697
DB00501,P08697
DB00389,P08700
DB04946,P08700
DB11274,P08758
DB00904,P08758
DB01023,P08779
DB01129,P08779
DB00523,P08865
DB13720,P08865
DB13967,P08908
DB05239,P08908
DB00808,P08912
DB00548,P08912
DB08872,P08913
DB00192,P08913
DB09116,P08922
DB06757,P08922
DB01009,P09038
DB00151,P09038
DB01012,P09172
DB00436,P09172
DB12500,P09210
DB00621,P09210
DB11986,P09211
DB15233,P09211
DB00180,P09417
DB03615,P09417
DB01283,P09429
DB00980,P09429
DB00432,P09455
DB00244,P09455
DB14490,P09466
DB06288,P09466
DB00211,P09486
DB00439,P09486
DB01205,P09488
DB00691,P09488
DB12404,P09525
DB09149,P09525
DB00723,P09601
DB14002,P09601
DB00889,P09619
DB00200,P09619
DB01214,P09622
DB01073,P09622
DB00987,P09669
DB00385,P09669
DB11640,P09769
DB00175,P09874
DB06700,P09874
DB00990,P09884
DB00821,P09884
DB00903,P09917
DB00409,P09917
DB00922,P09960
DB00673,P09960
DB00897,P0C0L5
DB01219,P0C0L5
DB01393,P0CG29
DB01203,P0CG29
DB00180,P0CG30
DB00392,P0CG30
DB14533,P0DP23
DB01010,P0DP23
DB00846,P10109
DB14006,P10109
DB04840,P10176
DB09097,P10176
DB00611,P10253
DB00313,P10253
DB00228,P10275
DB00366,P10275
DB01226,P10276
DB01181,P10276
DB06800,P10412
DB00295,P10412
DB00967,P10415
DB00217,P10415
DB01200,P10515
DB09031,P10515
DB00852,P10606
DB00142,P10606
DB09209,P10620
DB08896,P10620
DB08881,P10632
DB00378,P10632
DB01393,P10635
DB05541,P10635
DB11660,P10636
DB01019,P10636
DB00200,P10696
DB00571,P10696
DB01337,P10721
DB00409,P10721
DB00340,P10768
DB04743,P10768
DB04846,P10809
DB00796,P10809
DB01586,P10826
DB01259,P10826
DB06480,P10827
DB00115,P10827
DB13720,P10828
DB00844,P10828
DB00177,P10909
DB00482,P10909
DB01110,P10915
DB00205,P10915
DB00810,P10997
DB00278,P10997
DB00580,P11021
DB00604,P11021
DB12147,P11137
DB00502,P11137
DB00508,P11142
DB00765,P11142
DB00539,P11177
DB08910,P11177
DB00902,P11216
DB00206,P11216
DB00868,P11217
DB13346,P11217
DB00733,P11229
DB02530,P11229
DB00366,P11274
DB06786,P11274
DB00890,P11309
DB01148,P11309
DB11148,P11310
DB00425,P11310
DB04657,P11362
DB01364,P11362
DB05381,P11388
DB00697,P11388
DB00712,P11473
DB04575,P11473
DB01215,P11474
DB00239,P11474
DB01400,P11498
DB00429,P11498
DB00925,P11511
DB00909,P11511
DB09212,P11586
DB00408,P11586
DB00273,P11678
DB00913,P11678
DB14542,P11712
DB06228,P11712
DB01138,P11766
DB00391,P11766
DB00282,P11802
DB11921,P11802
DB14631,P11926
DB11235,P11926
DB14895,P12004
DB00208,P12004
DB00496,P12104
DB00380,P12104
DB06288,P12235
DB00631,P12235
DB00268,P12268
DB00151,P12268
DB08828,P12277
DB00584,P12277
DB00668,P12429
DB01023,P12429
DB00838,P12724
DB06757,P12724
DB00334,P12814
DB01001,P12814
DB00617,P12821
DB01608,P12821
DB06756,P12931
DB00350,P12931
DB00454,P13073
DB01143,P13073
DB01070,P13196
DB01119,P13196
DB13995,P13498
DB01028,P13498
DB00307,P13500
DB09238,P13500
DB05541,P13569
DB00839,P13569
DB06782,P13611
DB01176,P13611
DB11823,P13631
DB00721,P13631
DB00814,P13637
DB08828,P13637
DB09026,P13639
DB09225,P13639
DB09167,P13645
DB04834,P13645
DB06218,P13647
DB03754,P13647
DB12941,P13674
DB01199,P13674
DB00416,P13693
DB06201,P13693
DB00725,P13945
DB00173,P13945
DB06594,P13995
DB00938,P13995
DB06789,P14060
DB11496,P14060
DB00661,P14061
DB01259,P14061
DB11952,P14324
DB00153,P14324
DB14895,P14410
DB11641,P14410
DB00471,P14416
DB11652,P14416
DB00683,P14550
DB00296,P14550
DB00337,P14555
DB00575,P14555
DB00499,P14598
DB00598,P14598
DB01021,P14616
DB04861,P14616
DB09167,P14618
DB00541,P14618
DB09272,P14625
DB09238,P14625
DB14006,P14679
DB00518,P14679
DB00934,P14735
DB00321,P14735
DB04896,P14770
DB00933,P14770
DB12001,P14780
DB00437,P14780
DB13751,P14854
DB15233,P14854
DB11591,P14866
DB00318,P14866
DB11274,P14867
DB01053,P14867
DB00385,P14902
DB01212,P14902
DB01098,P14920
DB15035,P14920
DB00549,P14923
DB00728,P14923
DB06751,P15056
DB01043,P15056
DB01392,P15086
DB04864,P15086
DB04854,P15104
DB06756,P15104
DB09092,P15121
DB00657,P15121
DB04930,P15153
DB09026,P15153
DB00130,P15169
DB00527,P15169
DB00696,P15313
DB00849,P15313
DB01087,P15336
DB00245,P15336
DB01138,P15382
DB04948,P15382
DB00717,P15428
DB06780,P15428
DB08916,P15502
DB00228,P15502
DB01085,P15531
DB01401,P15531
DB01580,P15538
DB00665,P15538
DB00429,P15559
DB08899,P15559
DB00162,P15692
DB01283,P15692
DB00205,P15814
DB00900,P15814
DB01274,P15880
DB06702,P15880
DB11148,P15924
DB01194,P15924
DB00296,P15954
DB00186,P15954
DB00796,P16070
DB00537,P16070
DB11219,P16083
DB13257,P16083
DB11640,P16152
DB04339,P16152
DB00915,P16219
DB01438,P16219
DB12612,P16220
DB11703,P16220
DB00557,P16234
DB09330,P16234
DB00713,P16389
DB01119,P16389
DB00412,P16435
DB14539,P16435
DB13946,P16455
DB00253,P16455
DB01359,P16499
DB00122,P16499
DB00732,P16581
DB00489,P16581
DB00243,P16591
DB13720,P16591
DB11611,P16615
DB00617,P16615
DB00279,P16860
DB11995,P16860
DB00869,P17050
DB04703,P17050
DB00810,P17174
DB00421,P17174
DB06699,P17252
DB00470,P17252
DB00540,P17302
DB01156,P17302
DB00600,P17405
DB00432,P17405
DB00235,P17516
DB00469,P17516
DB01149,P17540
DB08822,P17540
DB08883,P17544
DB08860,P17544
DB08883,P17568
DB00674,P17568
DB01037,P17612
DB00640,P17612
DB01088,P17658
DB00176,P17658
DB00940,P17707
DB00800,P17707
DB06786,P17735
DB01303,P17735
DB11079,P17752
DB01625,P17752
DB01056,P17787
DB01558,P17787
DB12001,P17812
DB00541,P17812
DB00413,P17936
DB11362,P17936
DB00376,P17948
DB00449,P17948
DB00784,P18089
DB00496,P18089
DB04703,P18405
DB09026,P18405
DB00796,P18505
DB09064,P18505
DB00778,P18507
DB00574,P18507
DB00647,P18545
DB00138,P18545
DB04846,P18669
DB01611,P18669
DB00491,P18825
DB00459,P18825
DB04896,P18846
DB01392,P18846
DB04272,P18847
DB00734,P18847
DB14520,P18848
DB00700,P18848
DB06800,P18850
DB00816,P18850
DB01146,P19021
DB00218,P19021
DB00818,P19099
DB00353,P19099
DB08893,P19113
DB14540,P19113
DB13943,P19320
DB01591,P19320
DB00876,P19404
DB04817,P19404
DB00146,P19440
DB00257,P19440
DB13155,P19525
DB03615,P19525
DB13154,P19784
DB01583,P19784
DB00913,P19793
DB00565,P19793
DB09300,P19835
DB04838,P19835
DB01078,P19838
DB04946,P19838
DB01024,P19878
DB00471,P19878
DB00644,P20020
DB01600,P20020
DB01231,P20061
DB09185,P20061
DB05294,P20132
DB00754,P20132
DB15233,P20309
DB00179,P20309
DB04339,P20648
DB00187,P20648
DB01127,P20674
DB00936,P20674
DB00142,P20701
DB01100,P20701
DB08932,P20711
DB00984,P20711
DB00527,P20815
DB00262,P20815
DB12332,P20839
DB01012,P20839
DB12015,P20851
DB00145,P20851
DB00977,P21266
DB13257,P21266
DB00514,P21281
DB04115,P21281
DB08871,P21283
DB09472,P21283
DB01025,P21397
DB00491,P21397
DB12161,P21453
DB08912,P21453
DB01625,P21462
DB00163,P21462
DB00782,P21549
DB11278,P21549
DB01136,P21554
DB01182,P21554
DB06814,P21589
DB01035,P21589
DB01193,P21695
DB01403,P21695
DB12278,P21709
DB09089,P21709
DB14596,P21728
DB00982,P21728
DB02530,P21796
DB01006,P21796
DB06786,P21802
DB12789,P21802
DB00905,P21817
DB11157,P21817
DB00482,P21860
DB00637,P21860
DB12278,P21917
DB00784,P21917
DB01097,P21918
DB01599,P21918
DB14499,P21964
DB00214,P21964
DB04838,P22001
DB00924,P22001
DB00349,P22033
DB00669,P22033
DB04272,P22102
DB01336,P22102
DB08893,P22303
DB00842,P22303
DB00316,P22309
DB00205,P22309
DB00643,P22352
DB00266,P22352
DB09167,P22455
DB01114,P22455
DB01625,P22459
DB01430,P22459
DB00753,P22460
DB05812,P22460
DB08329,P22557
DB00569,P22557
DB00142,P22570
DB01591,P22570
DB00518,P22607
DB14499,P22607
DB01162,P22626
DB00213,P22626
DB13345,P22676
DB11581,P22676
DB00794,P22694
DB12267,P22694
DB00816,P22748
DB01105,P22748
DB01238,P22792
DB01081,P22792
DB08910,P22830
DB06262,P22830
DB00209,P22888
DB01159,P22888
DB09213,P23141
DB00750,P23219
DB00798,P23219
DB09220,P23246
DB00241,P23246
DB06605,P23258
DB08604,P23258
DB01081,P23297
DB00487,P23297
DB00353,P23368
DB01012,P23368
DB01624,P23378
DB14596,P23378
DB14881,P23415
DB00633,P23415
DB01591,P23458
DB00434,P23458
DB09090,P23469
DB00680,P23469
DB00732,P23526
DB00451,P23526
DB04348,P23528
DB01130,P23528
DB00399,P23560
DB00796,P23560
DB01220,P23634
DB00606,P23634
DB01205,P23743
DB04339,P23743
DB12161,P23786
DB00754,P23786
DB00820,P23921
DB09073,P23921
DB00513,P23975
DB04339,P23975
DB01065,P24046
DB01428,P24046
DB00863,P24310
DB00780,P24310
DB01097,P24311
DB01029,P24311
DB00320,P24385
DB01595,P24385
DB05351,P24462
DB00986,P24462
DB09116,P24530
DB14500,P24530
DB04896,P24557
DB00694,P24557
DB08964,P24752
DB00583,P24752
DB01403,P24941
DB01045,P24941
DB01219,P25021
DB00944,P25021
DB01041,P25024
DB01205,P25024
DB00957,P25100
DB00361,P25100
DB00585,P25101
DB00990,P25101
DB00210,P25103
DB00491,P25103
DB00941,P25105
DB01274,P25105
DB00619,P25311
DB00641,P25311
DB00467,P25713
DB00282,P25713
DB14649,P25774
DB00951,P25774
DB04743,P25963
DB09097,P25963
DB00503,P26358
DB01162,P26358
DB00179,P26439
DB04843,P26439
DB01119,P26440
DB00896,P26440
DB09092,P26447
DB09488,P26447
DB00969,P27169
DB03255,P27169
DB00746,P27338
DB00298,P27338
DB00716,P27361
DB06777,P27361
DB11148,P27448
DB09256,P27448
DB01057,P27449
DB01400,P27449
DB06772,P27487
DB13154,P27487
DB00924,P27707
DB03756,P27707
DB01180,P27797
DB00752,P27797
DB01160,P27815
DB14539,P27815
DB00192,P27816
DB00231,P27816
DB11689,P27824
DB00140,P27824
DB01399,P27986
DB12010,P27986
DB00217,P28161
DB01224,P28161
DB01367,P28221
DB00670,P28221
DB01021,P28222
DB00382,P28222
DB06766,P28223
DB00845,P28223
DB06155,P28329
DB13615,P28329
DB00661,P28331
DB00712,P28331
DB00606,P28335
DB00309,P28335
DB01165,P28472
DB00332,P28472
DB09128,P28482
DB06282,P28482
DB08906,P28676
DB06709,P28676
DB00668,P28702
DB00273,P28702
DB13167,P28845
DB00241,P28845
DB00412,P29034
DB00572,P29034
DB08911,P29074
DB05381,P29074
DB00257,P29218
DB11828,P29218
DB09064,P29274
DB06757,P29274
DB01144,P29275
DB00120,P29275
DB01192,P29317
DB09070,P29317
DB06780,P29320
DB01075,P29320
DB13873,P29322
DB01017,P29322
DB00631,P29323
DB09291,P29323
DB03128,P29350
DB01366,P29350
DB01198,P29372
DB00951,P29372
DB00491,P29376
DB09460,P29376
DB12364,P29401
DB01260,P29401
DB00208,P29466
DB00353,P29466
DB00277,P29474
DB04825,P29474
DB00142,P29475
DB00179,P29475
DB01086,P29590
DB00367,P29590
DB00395,P29597
DB15617,P29597
DB09116,P29622
DB12161,P29622
DB00275,P29803
DB09225,P29803
DB00732,P29972
DB01420,P29972
DB00563,P30038
DB00379,P30038
DB00823,P30041
DB00313,P30041
DB06153,P30043
DB00680,P30043
DB00937,P30044
DB01164,P30044
DB00304,P30049
DB09078,P30049
DB00185,P30085
DB11757,P30085
DB04896,P30086
DB01340,P30086
DB00544,P30101
DB13751,P30101
DB13954,P30291
DB09092,P30291
DB01012,P30405
DB14507,P30405
DB09061,P30519
DB00719,P30519
DB01075,P30530
DB09076,P30530
DB15690,P30532
DB00717,P30532
DB00770,P30536
DB12001,P30536
DB00892,P30542
DB00635,P30542
DB00257,P30556
DB00458,P30556
DB00655,P30613
DB09167,P30613
DB00871,P30626
DB01191,P30626
DB00315,P30711
DB00712,P30711
DB00162,P30837
DB01246,P30837
DB00393,P30838
DB11093,P30838
DB14533,P30926
DB04834,P30926
DB00476,P30968
DB01180,P30968
DB06786,P31025
DB01010,P31025
DB00628,P31040
DB00091,P31040
DB09092,P31151
DB06751,P31151
DB00448,P31152
DB11738,P31152
DB01196,P31153
DB01241,P31153
DB01173,P31213
DB14512,P31213
DB11823,P31260
DB01193,P31260
DB00182,P31350
DB00617,P31350
DB14541,P31415
DB00775,P31415
DB01392,P31644
DB01273,P31644
DB00626,P31645
DB06725,P31645
DB01222,P31749
DB00228,P31749
DB01275,P31937
DB12278,P31937
DB01062,P31939
DB15102,P31939
DB01236,P31942
DB06441,P31942
DB01239,P31943
DB11614,P31943
DB00450,P31946
DB11587,P31946
DB04840,P32004
DB11691,P32004
DB00918,P32119
DB13952,P32119
DB00752,P32297
DB08916,P32297
